transaction_id,date,branch,type,account_name,category_name,contact_name,reference_number,payment_method,description,amount,status,bank_account,is_reconciled,notes
T00001,2026-06-01,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0001,Paybill,Daily sales deposit for Nairobi CBD,22000,Posted,KCB Business Current Account,True,
T00002,2026-06-03,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0002,Paybill,Daily sales deposit for Nairobi CBD,22000,Posted,KCB Business Current Account,True,
T00003,2026-06-05,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Thika Motors,REF-0003,Paybill,Daily sales deposit for Nairobi CBD,56000,Posted,KCB Business Current Account,True,
T00004,2026-06-07,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0004,Paybill,Daily sales deposit for Nairobi CBD,34000,Posted,KCB Business Current Account,True,
T00005,2026-06-09,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0005,Paybill,Daily sales deposit for Nairobi CBD,42000,Posted,KCB Business Current Account,True,
T00006,2026-06-11,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0006,Paybill,Daily sales deposit for Nairobi CBD,34000,Posted,KCB Business Current Account,True,
T00007,2026-06-13,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0007,Paybill,Daily sales deposit for Nairobi CBD,42000,Posted,KCB Business Current Account,True,
T00008,2026-06-15,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0008,Paybill,Daily sales deposit for Nairobi CBD,22000,Posted,KCB Business Current Account,True,
T00009,2026-06-17,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0009,Paybill,Daily sales deposit for Nairobi CBD,22000,Posted,KCB Business Current Account,True,
T00010,2026-06-19,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Cafe Bloom,REF-0010,Paybill,Daily sales deposit for Nairobi CBD,67000,Posted,KCB Business Current Account,True,
T00011,2026-06-21,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0011,Paybill,Daily sales deposit for Nairobi CBD,22000,Posted,KCB Business Current Account,True,
T00012,2026-06-23,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0012,Paybill,Daily sales deposit for Nairobi CBD,34000,Posted,KCB Business Current Account,True,
T00013,2026-06-25,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0013,Paybill,Daily sales deposit for Nairobi CBD,42000,Posted,KCB Business Current Account,True,
T00014,2026-06-27,Nairobi CBD,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0014,Paybill,Daily sales deposit for Nairobi CBD,56000,Posted,KCB Business Current Account,True,
T00015,2026-06-01,Westlands,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0015,Paybill,Daily sales deposit for Westlands,67000,Posted,KCB Business Current Account,True,
