transaction_id,date,branch,type,account_name,category_name,contact_name,reference_number,payment_method,description,amount,status,bank_account,is_reconciled,notes
T00001,2026-06-01,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0001,Paybill,Daily sales deposit for Karen,67000,Posted,KCB Business Current Account,True,
T00002,2026-06-03,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0002,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00003,2026-06-05,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0003,Paybill,Daily sales deposit for Karen,56000,Posted,KCB Business Current Account,True,
T00004,2026-06-07,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Cafe Bloom,REF-0004,Paybill,Daily sales deposit for Karen,42000,Posted,KCB Business Current Account,True,
T00005,2026-06-09,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0005,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00006,2026-06-11,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0006,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00007,2026-06-13,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0007,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00008,2026-06-15,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0008,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00009,2026-06-17,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Thika Motors,REF-0009,Paybill,Daily sales deposit for Karen,22000,Posted,KCB Business Current Account,True,
T00010,2026-06-19,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0010,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00011,2026-06-21,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Cafe Bloom,REF-0011,Paybill,Daily sales deposit for Karen,22000,Posted,KCB Business Current Account,True,
T00012,2026-06-23,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Cafe Bloom,REF-0012,Paybill,Daily sales deposit for Karen,22000,Posted,KCB Business Current Account,True,
T00013,2026-06-25,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Thika Motors,REF-0013,Paybill,Daily sales deposit for Karen,56000,Posted,KCB Business Current Account,True,
